"Country.ID","Country.Name","Share.of.All.Commodities.Export","Share.of.Agriculture.Export","Share.of.Energy.Export","Share.of.Mining.Export","Mining.Export.Score","Super.Region.Country","PRGT.Eligible","Average.time.to.clear.exports.through.customs..days.","Container.port.traffic..TEU..20.foot.equivalent.units.","GDP.growth..annual...","GDP.per.capita..current.US..","Liner.shipping.connectivity.index..maximum.value.in.2004...100.","Rail.lines..total.route.km.","product_code_1","product_code_2","product_code_3","product_code_4","product_code_5","product_code_6","product_label_1","product_label_2","product_label_3","product_label_4","product_label_5","product_label_6","exports_2024_1","exports_2024_2","exports_2024_3","exports_2024_4","exports_2024_5","exports_2024_6","pct_of_total_1","pct_of_total_2","pct_of_total_3","pct_of_total_4","pct_of_total_5","pct_of_total_6"
38,"Comoros",52.9,51.7,0,1.1,1,1,1,NA,NA,3.388783506,1784.115469,6.129598168,NA,"'7204","'7404","'7602","'7326","'7308","'7320","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Articles of iron or steel, n.e.s. (excl. cast articles)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Springs and leaves for springs, of iron or steel (excl. clock and watch springs, springs for sticks and handles of umbrellas or parasols, shock absorbers and torque rod or torsion bar springs of Section 17)",1644,681,297,36,5,1,1.67214215242532,0.692657424453553,0.302084074981946,0.0366162515129632,0.00508559048791155,0.00101711809758231
39,"Congo (Republic of the)",94,4.5,76.8,12.7,4,1,1,NA,930000,2.579666395,2482.248947,24.83030274,NA,"'7403","'8105","'7204","'7404","'7602","'7901","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Cobalt mattes and other intermediate products","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Unwrought zinc :",1425520,29586,21890,13939,8895,7708,8.80489346321033,0.182741440318298,0.135206182943539,0.0860958878049335,0.0549410231741792,0.0476093767989402
40,"Costa Rica",42.4,40.7,0,1.6,1,0,0,NA,NA,4.321224296,18587.15322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"Côte d’Ivoire",91.6,66.8,15.3,9.4,4,1,1,NA,NA,5.95,2709.895116,NA,NA,"'7326","'7214","'7311","'7310","'7404","'7308","Articles of iron or steel, n.e.s. (excl. cast articles)","Other Iron","Containers of iron or steel, for compressed or liquefied gas (excluding containers specifically ...","Tanks, casks, drums, cans, boxes and similar containers, of iron or steel, for any material ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",14312,7240,6626,4147,2759,2686,0.0348243171354595,0.0176165494732202,0.0161225492830879,0.0100905843460558,0.00671326795533348,0.00653564252556206
42,"Croatia",35.6,18.9,11.8,4.9,3,0,0,NA,NA,3.814945217,23931.45284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"Cuba",68.2,45.3,3.8,19.1,5,0,0,NA,NA,-1.929371232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"Cyprus",37.4,17.1,17.2,3.1,2,0,0,NA,NA,3.448061704,38654.16797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"Czech Republic (Czechia)",9.3,5.9,1.7,1.6,2,0,0,NA,NA,1.120384627,31706.62342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"Democratic Republic of the Congo",82.2,1.6,3.6,77,6,1,1,NA,NA,6.67593029,647.4357048,5.125131987,3641,"'7403","'8105","'7402","'7404","'7401","'7405","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Cobalt mattes and other intermediate products","Copper, unrefined; copper anodes for electrolytic refining","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Copper mattes; cement copper ""precipitated copper""","Master alloys of copper (excluding phosphorus-copper compounds ""copper phosphide"" containing by weight > 15% phosphorus)",19292536,2985048,1142093,15752,12476,12414,33.1514140175069,5.12937034872611,1.96252052552845,0.0270675184228641,0.0214381894263365,0.0213316514538747
47,"Denmark",28.6,22.9,4,1.7,2,0,0,NA,NA,3.67619735,71851.75621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"Djibouti",49.1,30.1,12.2,6.9,3,1,1,NA,860000,5.953829989,3496.471119,32.49643947,NA,"'7404","'7403","'7801","'7410","'7602","'7308","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Unwrought lead :","Other Copper","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, ...",3635,3304,1131,955,412,174,0.791659588554802,0.71957174156398,0.246318292890091,0.207987594792252,0.0897286796381234,0.0378951219830909
49,"Dominica",25,18.1,0,6.9,4,0,1,NA,NA,2.052738473,10405.27878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Dominican Republic",42.8,23.9,0.6,18.3,5,0,0,NA,NA,4.951696872,10875.66184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Ecuador",94.1,55.5,32.7,5.9,3,0,0,NA,NA,-2.001254763,6874.70574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
