Country.ID,Country.Name,Share.of.All.Commodities.Export,Share.of.Agriculture.Export,Share.of.Energy.Export,Share.of.Mining.Export,Mining.Export.Score,Super.Region.Country,PRGT.Eligible,Average.time.to.clear.exports.through.customs..days.,Container.port.traffic..TEU..20.foot.equivalent.units.,GDP.growth..annual...,GDP.per.capita..current.US..,Liner.shipping.connectivity.index..maximum.value.in.2004...100.,Rail.lines..total.route.km.
142,Qatar,86.6,0.1,83.6,2.9,2,1,0,NA,1412689,2.768414336,76275.90768,36.85281265,NA
143,Romania,18.5,12.8,3.3,2.5,2,0,0,NA,NA,0.813687203,20072.40792,NA,NA
144,Russia,77.5,10.2,54.7,12.7,5,0,0,NA,NA,4.344374755,14889.01855,NA,NA
145,Rwanda,91.4,29.5,4.2,57.7,6,1,1,NA,NA,8.890655296,999.6545614,NA,NA
146,Saint Kitts and Nevis,12.1,10.9,0.2,1,1,0,0,NA,NA,1.166440229,22771.41689,NA,NA
147,Saint Lucia,72.9,4.6,66.2,2.1,2,0,0,NA,NA,3.891750242,14181.63034,NA,NA
148,Saint Vincent and the Grenadines,63.2,17.3,45.5,0.4,1,0,1,NA,NA,4.061834901,11501.22652,NA,NA
149,Samoa,78.8,69.2,8.4,1.2,1,0,1,NA,NA,9.422350442,4898.771408,NA,NA
150,San Marino,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA
151,Sao Tome and Principe,54.4,54,0,0.4,1,1,1,NA,NA,0.900000599,3244.828997,4.93629905,NA
152,Saudi Arabia,74.4,2.2,69.4,2.8,2,1,0,NA,9330437,1.807955151,35057.22523,70.00213334,NA
153,Senegal,76.3,31,21.5,23.9,5,1,1,NA,696899,6.892007403,1743.988884,17.03210287,NA
154,Serbia,30.5,20.8,2.7,7,4,0,0,NA,NA,3.878012796,13523.72468,NA,NA
155,Seychelles,78.1,52.4,25.5,0.2,1,1,0,NA,NA,3.465680664,17858.82264,8.459323297,NA
156,Sierra Leone,87.3,29.5,0.7,57,6,1,1,NA,NA,4.000000026,873.3885752,12.79403976,NA
157,Singapore,NA,NA,NA,NA,NA,0,0,NA,NA,4.388023625,90674.06663,NA,NA
158,Slovakia,9.7,4.7,2.7,2.2,2,0,0,NA,NA,2.061677718,26147.90284,NA,NA
159,Slovenia,14.4,6.1,4.2,4.1,3,0,0,NA,NA,1.591014799,34089.35277,NA,NA
160,Solomon Islands,97,89.4,0.2,7.4,4,0,1,NA,NA,2.539341917,2149.379573,NA,NA
161,Somalia,96.1,66.7,0,29.4,5,1,1,NA,NA,3.972320809,636.9834776,10.13299128,NA
162,South Africa,63.7,11.9,8.8,42.9,6,1,0,8.218905449,4075618,0.579853692,6253.371582,41.25694983,20953
163,South Sudan,99.9,2.9,93.8,3.1,2,1,1,NA,NA,NA,NA,NA,NA
164,Spain,29.6,19.6,5.7,4.2,3,0,0,NA,NA,3.150195645,35297.0095,NA,NA
165,Sri Lanka,33.3,28,2.5,2.9,2,1,0,NA,6850000,5.00871931,4515.567873,71.99260717,NA
166,Sudan,97.5,62.2,6.5,28.8,5,1,1,NA,396267,-13.49329206,989.3128662,9.523067059,2747
167,Suriname,97.3,12.2,2.3,82.8,6,0,0,NA,NA,2.839586028,7430.702192,NA,NA
168,Sweden,23.3,11.1,6.3,5.9,3,0,0,NA,NA,0.973832213,57723.2345,NA,NA
169,Switzerland,28.6,3.1,0.8,24.7,5,0,0,NA,NA,1.302333325,103669.872,NA,NA
170,Syria,68,62.6,3.9,1.5,1,1,0,NA,243348,-1.207264203,847.3727234,8.687274683,NA
171,Tajikistan,80.8,20,4.3,56.6,6,1,1,NA,NA,8.39999981,1341.20229,NA,662
172,Tanzania,88.2,37.5,1.5,49.1,6,1,1,NA,709881,5.526313831,1185.745483,15.65593193,NA
173,Thailand,28.3,18.4,3.3,6.6,3,0,0,NA,NA,2.525961758,7345.13569,NA,NA
174,Timor-Leste,56.6,22.7,29,5,3,0,1,NA,NA,-2.189121556,1343.14886,NA,NA
175,Togo,64.7,23.4,29.3,12,4,1,1,NA,1725270,5.300005314,1043.140929,36.57226174,NA
176,Tonga,84.3,81.5,0,2.8,2,0,1,NA,NA,2.084155836,4863.763846,NA,NA
