Country.Name,product_code_1,product_code_2,product_code_3,product_code_4,product_code_5,product_code_6,product_label_1,product_label_2,product_label_3,product_label_4,product_label_5,product_label_6,exports_2024_1,exports_2024_2,exports_2024_3,exports_2024_4,exports_2024_5,exports_2024_6,pct_of_total_1,pct_of_total_2,pct_of_total_3,pct_of_total_4,pct_of_total_5,pct_of_total_6
Botswana,'7204,'7404,'7307,'7214,'7216,'7602,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted ...","Tube or pipe fittings ""e.g. couplings, elbows, sleeves"", of iron or steel",Other Iron,Other Iron,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",8295,7181,6943,6389,3009,2758,0.10582533,0.091613225,0.088576886,0.081509106,0.038387995,0.035185806
Brazil,'7207,'7202,'7201,'7304,'7224,'7601,Other Iron,Ferro-alloys,"Pig iron and spiegeleisen, in pigs, blocks or other primary forms","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",Other Iron,Unwrought aluminium,3864537,3648851,1652866,894139,784155,732891,0.573294921,0.541298413,0.245198761,0.132643405,0.116327539,0.108722646
Burkina Faso,'7213,'7214,'7801,'7602,'7210,'7216,Other Iron,Other Iron,Unwrought lead :,"Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, ...",Other Iron,Other Iron,6043,4347,3068,3004,2269,1916,0.053537075,0.038511611,0.027180497,0.026613499,0.020101874,0.016974522
Burundi,'7214,'7210,'7610,'7616,'7801,'7204,Other Iron,Other Iron,Other Aluminium,Other Aluminium,Unwrought lead :,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other ...",4069,2233,1818,194,79,71,1.103122577,0.605375452,0.492867251,0.052594195,0.021417224,0.019248391
Cabo Verde,'7209,'7211,'7222,'7302,'7304,'7317,Other Iron,Other Iron,Other Iron,"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ...","Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)","Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ...",0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,'7601,'7404,'7801,'7402,'7403,'7602,Unwrought aluminium,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)",Unwrought lead :,"Copper, unrefined; copper anodes for electrolytic refining","Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)",82015,17919,9480,9243,5709,1642,0.573415863,0.125282434,0.066280344,0.064623335,0.03991503,0.011480203
Central Africa Republic,'7202,'7204,'7602,'7404,'7802,'7209,Ferro-alloys,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Lead waste and scrap (excluding ashes and residues from lead production ""heading No 2620"", and ingots or other similar unwrought shapes, of remelted waste and scrap, of lead ""heading No 7801"" and waste and scrap of primary cells, primary batteries et electric accumulators)",Other Iron,49,34,12,6,1,0,0.011980294,0.008312857,0.002933949,0.001466975,0.000244496,0
Chad,'7404,'7326,'7308,'7318,'7317,'7219,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Articles of iron or steel, n.e.s. (excl. cast articles)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter pins, washers, incl. spring washers, and similar articles, of iron or steel (excl. lag screws, stoppers, plugs and the like, threaded)","Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, whether or not with heads of other material (excluding such articles with heads of copper and staples in strips)",Other Iron,393,10,8,8,7,7,0.005630339,0.000143266,0.000114613,0.000114613,0.000100286,0.000100286
Chile,'7403,'7402,'7408,'7202,'7404,'7204,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)","Copper, unrefined; copper anodes for electrolytic refining",Other Copper,Ferro-alloys,"Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)",17281678,2115935,378347,267610,261528,171716,8.363828863,1.024050918,0.18310893,0.129515446,0.126571936,0.083105543
Comoros,'7204,'7404,'7602,'7326,'7308,'7320,"Ferrous waste and scrap; remelting scrap ingots of iron or steel (excl. slag, scale and other waste from the production of iron or steel; radioactive waste and scrap; fragments of pigs, blocks or other primary forms of pig iron or spiegeleisen)","Waste and scrap, of copper (excluding ingots or other similar unwrought shapes, of remelted copper waste and scrap, ashes and residues containing copper, and waste and scrap of primary cells, primary batteries and electric accumulators)","Waste and scrap, of aluminium (excluding slags, scale and the like from iron and steel production, containing recoverable aluminium in the form of silicates, ingots or other similar unwrought shapes, of remelted waste and scrap, of aluminium, ashes and residues from aluminium production)","Articles of iron or steel, n.e.s. (excl. cast articles)","Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes and the like, prepared for use in structures, of iron or steel (excl. prefabricated buildings of heading 9406)","Springs and leaves for springs, of iron or steel (excl. clock and watch springs, springs for sticks and handles of umbrellas or parasols, shock absorbers and torque rod or torsion bar springs of Section 17)",1644,681,297,36,5,1,1.672142152,0.692657424,0.302084075,0.036616252,0.00508559,0.001017118
