Country Name,GDP growth (annual %),GDP per capita (current US$),Average time to clear exports through customs (days),Container port traffic (TEU: 20 foot equivalent units),Liner shipping connectivity index (maximum value in 2004 = 100),Rail lines (total route-km)
Palau,1.877031984,15899.42461,NA,NA,NA,NA
Panama,2.861666635,19102.85219,NA,NA,NA,NA
Papua New Guinea,4.095029002,3076.487862,NA,NA,NA,NA
Paraguay,4.249960105,6416.09709,NA,NA,NA,NA
Peru,3.303940982,8452.37167,NA,NA,NA,NA
Philippines,5.692016128,3984.831539,NA,NA,NA,NA
Poland,2.923388081,25022.67164,NA,NA,NA,NA
Portugal,1.92844406,28844.49792,NA,NA,NA,NA
Puerto Rico (US),3.226705422,39285.01746,NA,NA,NA,NA
Qatar,2.768414336,76275.90768,NA,1412689,36.85281265,NA
Romania,0.813687203,20072.40792,NA,NA,NA,NA
Russian Federation,4.344374755,14889.01855,NA,NA,NA,NA
Rwanda,8.890655296,999.6545614,NA,NA,NA,NA
Samoa,9.422350442,4898.771408,NA,NA,NA,NA
San Marino,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,0.900000599,3244.828997,NA,NA,4.93629905,NA
Saudi Arabia,1.807955151,35057.22523,NA,9330437,70.00213334,NA
Senegal,6.892007403,1743.988884,NA,696899,17.03210287,NA
Serbia,3.878012796,13523.72468,NA,NA,NA,NA
Seychelles,3.465680664,17858.82264,NA,NA,8.459323297,NA
Sierra Leone,4.000000026,873.3885752,NA,NA,12.79403976,NA
Singapore,4.388023625,90674.06663,NA,NA,NA,NA
Sint Maarten (Dutch part),3.5,40027.9176,NA,NA,NA,NA
Slovak Republic,2.061677718,26147.90284,NA,NA,NA,NA
Slovenia,1.591014799,34089.35277,NA,NA,NA,NA
Solomon Islands,2.539341917,2149.379573,NA,NA,NA,NA
Somalia,3.972320809,636.9834776,NA,NA,10.13299128,NA
South Africa,0.579853692,6253.371582,8.218905449,4075618,41.25694983,20953
South Sudan,NA,NA,NA,NA,NA,NA
Spain,3.150195645,35297.0095,NA,NA,NA,NA
Sri Lanka,5.00871931,4515.567873,NA,6850000,71.99260717,NA
St. Kitts and Nevis,1.166440229,22771.41689,NA,NA,NA,NA
St. Lucia,3.891750242,14181.63034,NA,NA,NA,NA
St. Martin (French part),NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,4.061834901,11501.22652,NA,NA,NA,NA
Sudan,-13.49329206,989.3128662,NA,396267,9.523067059,2747
Suriname,2.839586028,7430.702192,NA,NA,NA,NA
Sweden,0.973832213,57723.2345,NA,NA,NA,NA
Switzerland,1.302333325,103669.872,NA,NA,NA,NA
Syria,-1.207264203,847.3727234,NA,243348,8.687274683,NA
Tajikistan,8.39999981,1341.20229,NA,NA,NA,662
Tanzania,5.526313831,1185.745483,NA,709881,15.65593193,NA
Thailand,2.525961758,7345.13569,NA,NA,NA,NA
Timor-Leste,-2.189121556,1343.14886,NA,NA,NA,NA
Togo,5.300005314,1043.140929,NA,1725270,36.57226174,NA
Tonga,2.084155836,4863.763846,NA,NA,NA,NA
Trinidad and Tobago,1.650603346,19314.71634,NA,NA,NA,NA
Tunisia,1.350652535,4350.371797,6.7239604,483178,6.145712418,1777
Turkiye,3.184024355,15473.28726,NA,NA,NA,NA
Turkmenistan,2.264117227,8571.607029,NA,NA,NA,NA
Turks and Caicos Islands,5.636825174,37506.77984,NA,NA,NA,NA
Tuvalu,3.852809195,6344.775019,NA,NA,NA,NA
Uganda,6.136452018,1072.713698,NA,NA,NA,NA
Ukraine,2.913822215,5389.473145,NA,NA,NA,NA
United Arab Emirates,3.761615446,49377.56434,NA,18721000,76.49649888,261
United Kingdom,1.100667866,52636.78659,NA,NA,NA,NA
United States,2.796190356,85809.90038,NA,NA,NA,NA
Uruguay,3.108254781,23906.5133,NA,NA,NA,NA
Uzbekistan,6.5,3161.700106,NA,NA,NA,4732
Vanuatu,3.967258306,3542.810716,NA,NA,NA,NA
"Venezuela, RB",NA,NA,NA,NA,NA,NA
Viet Nam,7.091187466,4717.290287,NA,NA,NA,NA
Virgin Islands (U.S.),NA,NA,NA,NA,NA,NA
West Bank and Gaza,-26.55752645,2592.305912,NA,NA,NA,NA
Yemen,NA,433.1740151,NA,423393,7.753847218,NA
Zambia,4.043148299,1235.084665,NA,NA,NA,NA
Zimbabwe,2.029484143,2656.409377,NA,NA,NA,3120
